amfi_code,date,nav,daily_return,rolling_volatility,rolling_sharpe
100016,2022-01-03,520.4608,,,
100016,2022-01-04,515.0971,-0.010305675278522441,,
100016,2022-01-05,521.7239,0.012865147173222402,,
100016,2022-01-06,515.788,-0.011377473794089044,,
100016,2022-01-07,515.1639,-0.001209993253041941,,
100016,2022-01-10,510.7136,-0.008638609964712218,,
100016,2022-01-11,513.5542,0.005562021453902943,,
100016,2022-01-12,512.3195,-0.00240422529890727,,
100016,2022-01-13,510.2445,-0.00405020695093572,,
100016,2022-01-14,514.3636,0.00807279647306336,,
100016,2022-01-17,514.7627,0.0007759102704778531,,
100016,2022-01-18,517.3803,0.005085061524465528,,
100016,2022-01-19,513.1866,-0.008105642986406814,,
100016,2022-01-20,507.1294,-0.011803114110929713,,
100016,2022-01-21,507.871,0.0014623486628857485,,
100016,2022-01-24,506.7062,-0.0022934957892849495,,
100016,2022-01-25,509.7762,0.006058737785328061,,
100016,2022-01-26,509.68,-0.00018871026148337133,,
100016,2022-01-27,510.8661,0.002327146444828232,,
100016,2022-01-28,503.8641,-0.013706135521617147,,
100016,2022-01-31,512.5903,0.01731855871454213,,
100016,2022-02-01,512.1124,-0.0009323235340191749,,
100016,2022-02-02,515.5386,0.006690328138900803,,
100016,2022-02-03,512.0153,-0.0068342118320527945,,
100016,2022-02-04,513.6729,0.0032374032572854983,,
100016,2022-02-07,508.0666,-0.010914144000978121,,
100016,2022-02-08,510.3595,0.004512991013382983,,
100016,2022-02-09,509.0223,-0.0026201138609157626,,
100016,2022-02-10,509.4161,0.0007736399760875923,,
100016,2022-02-11,512.826,0.006693742109839196,,
100016,2022-02-14,507.5435,-0.010300764781816851,0.007758082013480724,-2.181722770353019
100016,2022-02-15,504.7492,-0.005505537948964023,0.007603409228900767,-1.892044716178329
100016,2022-02-16,507.0506,0.004559492120046915,0.007236763368227203,-2.595211263667707
100016,2022-02-17,516.7872,0.019202422795673746,0.007842080876450629,-0.3314897598940313
100016,2022-02-18,516.4246,-0.0007016427651457269,0.007839714532756148,-0.29727813469484893
100016,2022-02-21,519.3918,0.005745659676165582,0.0077251622778211175,0.6835926741028185
100016,2022-02-22,519.1698,-0.0004274229974365884,0.007669445398088941,0.27531954761215066
100016,2022-02-23,528.4118,0.017801497698826108,0.008278548205102137,1.546576953190814
100016,2022-02-24,520.6004,-0.014782788726519613,0.008726955172176584,0.8163515520088873
100016,2022-02-25,521.3038,0.001351132269587163,0.008616909696634062,0.4140107241387548
100016,2022-02-28,514.1489,-0.013725010253138326,0.008998171729795631,-0.4562785638401802
100016,2022-03-01,503.1674,-0.021358598647201354,0.009746850738153108,-1.8568400269967273
100016,2022-03-02,504.7495,0.003144281604889443,0.009675505030317664,-1.2552773216848365
100016,2022-03-03,505.6316,0.001747599551856771,0.00944349988528076,-0.5268256910051066
100016,2022-03-04,504.6233,-0.0019941396067809647,0.009445428517955406,-0.7203569445118763
100016,2022-03-07,504.411,-0.0004207098641698659,0.009437099815347686,-0.6159831915735883
100016,2022-03-08,518.6513,0.028231541342278454,0.010718065920805053,0.5523057981205999
100016,2022-03-09,517.7387,-0.0017595636991558639,0.010726041928418261,0.4743998278410002
100016,2022-03-10,520.3416,0.005027439517270027,0.010752519599819495,0.6061177727777107
100016,2022-03-11,517.6372,-0.0051973549683514975,0.010468752627562472,1.0526293900049661
100016,2022-03-14,519.2545,0.003124389050864096,0.010014456963960895,0.35038026581585824
100016,2022-03-15,518.432,-0.0015840016793305933,0.010018329843142266,0.3158243420913083
100016,2022-03-16,516.825,-0.0030997314980556467,0.009967614974530213,-0.20229314611006236
100016,2022-03-17,525.4534,0.016695012818652266,0.010320133030828108,1.011044641576534
100016,2022-03-18,531.2109,0.010957203816742034,0.010475112638927274,1.3860518919375044
100016,2022-03-21,532.1264,0.0017234209614296336,0.010223372861986608,2.0742880839145745
100016,2022-03-22,521.6911,-0.019610566211336278,0.010911412301737231,0.7736151508748305
100016,2022-03-23,520.3011,-0.002664411947989831,0.010911892636041724,0.7714329503088568
100016,2022-03-24,533.1283,0.024653417031022862,0.011749618493120336,1.7918695685487693
